time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
25,51200,130,347.3,-27.71437922,391,0.0003,0.26864296197891235,-0.0057780961156822745,0.009378269,0.09326171875,0.24024913237080908,0.5501852631568909,0.2,240,-1.7883237835019827
26,53248,136,344.98,-27.695350159999993,390,0.0003,0.11088648438453674,-0.007044949614282814,0.012757528,0.079541015625,0.4526135455584154,0.20793652534484863,0.2,250,-1.7340425167232751
27,55296,141,340.73,-27.508591550000002,390,0.0003,0.2656259834766388,-0.006381333705940051,0.007898189,0.083935546875,0.6302851528860629,0.5016279816627502,0.2,260,-1.705596662312746
28,57344,146,339.15,-27.457771550000004,390,0.0003,0.3688896894454956,-0.0011837474870844745,0.003543673,0.023388671875,1.1520081834867597,0.26247715950012207,0.2,270,-1.6654323976486922
29,59392,152,336.16,-27.295601399999995,389,0.0003,0.05227511376142502,-0.008237604500027373,0.008113014,0.085107421875,0.5099901678971946,0.5561918616294861,0.2,280,-1.7048176269978286
30,61440,157,323.03,-26.11412745,389,0.0003,0.07737958431243896,-0.007956171125988476,0.015064201,0.126953125,0.43600455662235615,0.5607831478118896,0.2,290,-1.72142866961658
31,63488,163,320.04,-26.133876479999998,388,0.0003,0.7763648629188538,-0.0054615594664937815,0.00534068,0.067578125,1.652402257733047,0.6064967513084412,0.2,300,-1.6670520447194577
32,65536,168,310.85,-25.338413389999996,388,0.0003,0.43601346015930176,-0.008417021131026558,0.0087575335,0.071826171875,0.836860171193257,0.5895840227603912,0.2,310,-1.6233256995677947
33,67584,174,297.8,-24.32292069,388,0.0003,0.6053379774093628,-0.0060497316739201775,0.008695927,0.057177734375,1.2211983525194228,0.6099153459072113,0.2,320,-1.6199701942503453
34,69632,179,293.63,-23.94723018,387,0.0003,0.6308755874633789,-0.004141119074483867,0.008995387,0.052978515625,1.0456430895254016,0.7475921213626862,0.2,330,-1.661675364524126
35,71680,184,280.26,-22.86301495,387,0.0003,0.6834616661071777,-0.007130618186056381,0.009311493,0.09677734375,0.657126007694751,0.7735964804887772,0.2,340,-1.6679268550127744
36,73728,190,274.93,-22.38493286,387,0.0003,0.637101948261261,-0.00857256356975995,0.014637841,0.105615234375,1.5284749845974148,0.4499877095222473,0.2,350,-1.536645257100463
37,75776,195,255.65,-20.682121930000005,386,0.0003,0.3063100576400757,-0.004521517067041713,0.010941698,0.07158203125,0.6978376782499254,0.6869923770427704,0.2,360,-1.5700539033859968
38,77824,201,243.81,-19.606045419999997,386,0.0003,0.8944703936576843,-0.007037796010263264,0.008590819,0.074853515625,1.4965455878525973,0.6483946442604065,0.2,370,-1.5941433601081372
39,79872,206,226.64,-18.09919547,386,0.0003,0.7329694032669067,-0.005611055620829575,0.008063694,0.06328125,1.454591222293675,0.416389524936676,0.2,380,-1.591757870092988
40,81920,211,211.96,-16.789800500000002,386,0.0003,0.5897533297538757,-0.008292602305300534,0.008178201,0.06240234375,1.3969746308401227,0.646293431520462,0.2,390,-1.5670961443334819
41,83968,217,189.88,-14.871771700000002,386,0.0003,0.9176223278045654,-0.0058313892353908155,0.0085674245,0.059912109375,1.4609820481389761,0.6157405376434326,0.2,400,-1.539211943373084
42,86016,222,169.07,-13.04003125,386,0.0003,0.5472337007522583,-0.00693082350626355,0.007846375,0.077587890625,1.4802440041676164,0.6589614450931549,0.2,410,-1.538221526518464
43,88064,228,137.59,-10.19861526,385,0.0003,0.5899884700775146,-0.005123427293437999,0.008905185,0.07744140625,1.7049326637759805,0.5160313546657562,0.2,420,-1.4349753834307193
44,90112,233,117.22,-8.34882512,385,0.0003,0.6186887621879578,-0.010489778639748693,0.01210238,0.1494140625,1.570599579811096,0.6267590820789337,0.2,430,-1.47662434540689
45,92160,239,93.96,-6.286410990000002,385,0.0003,0.5779017806053162,-0.010366160616104025,0.011040064,0.135888671875,1.473064525052905,0.40678858757019043,0.2,440,-1.3073010366410016
46,94208,244,78.39,-4.976468360000001,385,0.0003,0.5675462484359741,-0.006508265205775387,0.009304573,0.118310546875,1.0989320963621139,0.4729783535003662,0.2,450,-1.203670221567154
47,96256,249,46.78,-2.11283815,385,0.0003,0.5044178366661072,-0.007245278941991273,0.011932055,0.121044921875,1.0782071193680167,0.46185386180877686,0.2,460,-1.2031570423394442
48,98304,255,47.4,-2.1225763999999994,384,0.0003,0.43465033173561096,-0.013836149020062295,0.014753291,0.173876953125,0.8898954076692462,0.5890336632728577,0.2,470,-1.1282490327954293
49,100352,260,36.06,-1.14925548,384,0.0003,0.15676826238632202,-0.01891173317853827,0.04375393,0.190380859375,0.543106438126415,0.6451364159584045,0.2,480,-1.0563195284456015
50,102400,266,26.6,-0.31439547999999995,384,0.0003,0.10334537923336029,-0.013685024934238755,0.019296682,0.174755859375,0.35719929249025884,0.7225335836410522,0.2,490,-0.9565416807308793
51,104448,271,21.56,0.10634772999999997,384,0.0003,0.05646650865674019,-0.020022500523191412,0.026529277,0.2072265625,0.2248171519022435,0.701574444770813,0.2,500,-0.892436303012073
52,106496,277,20.29,0.21488545000000003,384,0.0003,0.009721912443637848,-0.01254237945395289,0.020348188,0.194091796875,0.13132936289766803,0.7621947377920151,0.2,510,-0.7521806944161653
53,108544,282,17.14,0.48903669,384,0.0003,0.02292688563466072,-0.01978665803617332,0.029846555,0.21298828125,0.08717538407072425,0.817528486251831,0.2,520,-0.5677702073007822
54,110592,287,19.72,0.2589696,384,0.0003,0.011830857023596764,-0.009480064430681523,0.01683916,0.113427734375,0.055026789184194055,0.8619655817747116,0.2,530,-0.421948023699224
55,112640,293,15.37,0.62719709,384,0.0003,-0.08459790050983429,-0.013545502566557843,0.10071926,0.168505859375,0.06706549217051361,0.8092427253723145,0.2,540,-0.39655991867184637
56,114688,298,19.65,0.23611910000000005,383,0.0003,0.007228206843137741,-0.0056939449073979635,0.039985143,0.073974609375,0.024355086468858644,0.9145342856645584,0.2,550,-0.1852403718745336
57,116736,304,15.97,0.56334644,383,0.0003,0.008199959993362427,-0.009050782359554432,0.08378466,0.153466796875,0.17892562227789313,0.5852475762367249,0.2,560,-0.26648158011958
58,118784,309,15.67,0.5894131300000001,383,0.0003,0.017680644989013672,-0.0034522798407124354,0.043651264,0.081787109375,0.038967353277257644,0.7759079039096832,0.2,570,-0.15812589412089437
59,120832,315,14.98,0.6456188399999999,383,0.0003,0.011463535949587822,-0.012901972322288202,0.029897928,0.0623046875,0.04344960880116559,0.855384111404419,0.2,580,-0.1094725819886662
60,122880,320,14.83,0.6548727700000001,383,0.0003,0.00046093203127384186,0.00082191808760399,0.023886135,0.044970703125,0.024022567679639905,0.9029952362179756,0.2,590,-0.08834124010754749
61,124928,326,15.95,0.55338637,383,0.0003,-0.015623507089912891,-0.0001237043965375051,0.027321974,0.090869140625,0.013610602446715348,0.9470172375440598,0.2,600,-0.13012617072090507
62,126976,331,15.19,0.61997876,383,0.0003,0.0028501618653535843,-0.005399959709029645,0.04693289,0.07880859375,0.048144586934358816,0.8632864207029343,0.2,610,-0.10465597716392949
63,129024,336,15.36,0.60419967,382,0.0003,0.0013642990961670876,-0.0010033723432570697,0.03150684,0.060888671875,0.027476961092907003,0.9116225093603134,0.2,620,-0.08496128434780985
64,131072,342,31.69,-0.9893413900000002,382,0.0003,-0.008084053173661232,-0.004185349396720994,0.084550515,0.155126953125,0.028977932989073453,0.9132334366440773,0.2,630,-0.12802498498931528
65,133120,347,17.61,0.38533956,382,0.0003,0.0012101568281650543,-0.027077912162349095,0.071569055,0.36806640625,0.17874855346162805,0.38180434703826904,0.2,640,-0.39982705835136584
66,135168,353,15.05,0.62362054,382,0.0003,0.08573159575462341,0.001075858625699766,0.027200181,0.07939453125,0.20942587924655526,0.6700285077095032,0.2,650,-0.15491362740285694
67,137216,358,29.43,-0.645495,382,0.0003,-0.023657934740185738,-0.010569936716638039,0.23627053,0.1267578125,0.061155381769640374,0.7197021842002869,0.2,660,-0.1457365713082254
68,139264,363,32.15,-0.8942711500000001,382,0.0003,0.11919987946748734,-0.014057383037288674,0.077175274,0.23642578125,0.26126812992151827,0.7658701837062836,0.2,670,-0.429885868774727
69,141312,369,26.01,-0.35959172999999994,382,0.0003,0.15590818226337433,-0.01758226820966229,0.037362114,0.215283203125,0.2935037861112505,0.6464809775352478,0.2,680,-0.32922169417142866
70,143360,374,18.99,0.26666138,382,0.0003,0.0725238025188446,-0.03409991073858691,0.054621264,0.27548828125,0.21509667921345682,0.8347968012094498,0.2,690,-0.4730243905447423
71,145408,380,16.07,0.51944446,382,0.0003,0.03464817255735397,-0.014978070498909802,0.034121115,0.2060546875,0.1000158861395903,0.8096687495708466,0.2,700,-0.26240098029375075
72,147456,385,16.05,0.5224948,382,0.0003,-0.05169634521007538,-0.0587461895600427,0.020932585,0.239990234375,0.06850805706053506,0.2534680962562561,0.2,710,-0.2697864045388997
73,149504,391,15.44,0.57038784,382,0.0003,0.02866550162434578,-0.0027128880756208673,0.06657115,0.1595703125,0.04737740562704858,0.8398678302764893,0.2,720,-0.13821437198203057
74,151552,396,16.85,0.4439998899999999,382,0.0003,0.04246087744832039,-0.007626062640338205,0.04387352,0.0548828125,0.026902968125068583,0.9075629562139511,0.2,730,-0.08933262909995392
75,153600,402,15.11,0.6007267199999999,382,0.0003,0.011882666498422623,-0.011629150499356911,0.031091232,0.0673828125,0.0706373973574955,0.7859658747911453,0.2,740,-0.08501551250228659
76,155648,407,20.27,0.12949405,381,0.0003,-0.009908556938171387,-0.011577620611933525,0.077257596,0.118017578125,0.05464221985312179,0.8451786637306213,0.2,750,-0.16305510408710688
77,157696,412,15.78,0.53578001,381,0.0003,0.017103057354688644,-0.023098119017959107,0.08286693,0.3173828125,0.12405685796402395,0.7337846457958221,0.2,760,-0.310394030995667
78,159744,418,22.59,-0.11022382,381,0.0003,-0.03477012366056442,-0.010601581384253222,0.06244207,0.13466796875,0.030694117821985854,0.8196401745080948,0.2,770,-0.2411933861207217
79,161792,423,16.56,0.46140451,381,0.0003,-0.044223543256521225,-0.012142156185291242,0.06308806,0.26591796875,0.15839463867014275,0.5306971967220306,0.2,780,-0.4177781941369176
80,163840,429,15.84,0.52769486,381,0.0003,-0.013778656721115112,-0.007140334029099904,0.054606795,0.162646484375,0.05745827291393653,0.8130483329296112,0.2,790,-0.23908895323984325
81,165888,434,15.0,0.6029636500000001,381,0.0003,0.002657138742506504,-0.015185716983978637,0.02796236,0.141943359375,0.030398477977723815,0.9043662920594215,0.2,800,-0.18999977642670274
82,167936,440,15.5,0.5562071099999999,381,0.0003,-0.007614164613187313,-0.015170311722613405,0.023994945,0.11337890625,0.018477225603419356,0.9205154106020927,0.2,810,-0.15230482548940927
83,169984,445,14.13,0.67842661,381,0.0003,0.03329123929142952,-0.01659657084674109,0.102038875,0.15927734375,0.0227826895104954,0.9000900760293007,0.2,820,-0.10635900308843702
84,172032,451,16.57,0.4481468900000001,381,0.0003,-0.017024343833327293,-0.010192593463580124,0.054862045,0.0513671875,0.012520435529586394,0.9432403706014156,0.2,830,-0.059080992121016605
85,174080,456,14.99,0.59876087,381,0.0003,0.009954812005162239,-0.0220522798364982,0.055487104,0.088525390625,0.06493943877867422,0.7716623097658157,0.2,840,-0.0685316607763525
86,176128,461,25.04,-0.31370598,381,0.0003,-0.018142348155379295,-0.018551428042701445,0.11434731,0.084228515625,0.020737739020842128,0.9002397581934929,0.2,850,-0.062162545137107374
87,178176,467,20.16,0.11853291999999999,381,0.0003,0.050024233758449554,-0.04082900203356985,0.07481793,0.332275390625,0.2594038128387183,0.5743944942951202,0.2,860,-0.3796992927789688
88,180224,472,16.6,0.44460516000000005,381,0.0003,0.014650925993919373,-0.022352214404963888,0.042453397,0.248828125,0.14687700486974792,0.7187241911888123,0.2,870,-0.25726647498086097
89,182272,478,16.32,0.47154904,381,0.0003,0.0060835909098386765,-0.029156295393477194,0.053152554,0.2259765625,0.05767223397851921,0.8468831181526184,0.2,880,-0.20469940551556648
90,184320,483,14.86,0.6029054300000001,381,0.0003,-0.01320917159318924,-0.02065900353481993,0.035208877,0.223583984375,0.04519458596769255,0.8684254586696625,0.2,890,-0.18970564790070057
91,186368,489,14.18,0.6638762099999999,381,0.0003,0.014626075513660908,-0.01642029880604241,0.04324187,0.187646484375,0.024624882280477323,0.9037007093429565,0.2,900,-0.13209569747559727
92,188416,494,14.86,0.60156282,380,0.0003,-0.007458875887095928,-0.019838382772286424,0.03830106,0.119775390625,0.011846150402561761,0.9363416209816933,0.2,910,-0.08001453439355828
93,190464,500,14.22,0.65844424,380,0.0003,-0.019801370799541473,-0.016310218069702388,0.052180514,0.115380859375,0.01438953145261621,0.9454312548041344,0.2,920,-0.07111257416545413
94,192512,505,14.48,0.63239879,380,0.0003,-0.01301603578031063,-0.005265079260425409,0.024402324,0.046826171875,0.009495323357987218,0.9594989381730556,0.2,930,-0.05107384937000461
95,194560,510,14.54,0.62528021,380,0.0003,-0.014349687844514847,-0.011350414574553724,0.02507793,0.05341796875,0.013454595977964345,0.9472277536988258,0.2,940,-0.04022152745164931
96,196608,516,14.0,0.6759824599999998,380,0.0003,-0.002322317101061344,-0.012643180349550675,0.03013388,0.034765625,0.02058871497429209,0.9055607989430428,0.2,950,-0.03544083521410357
97,198656,521,13.53,0.71759721,380,0.0003,0.003459698287770152,-0.006239249917416601,0.019135643,0.03564453125,0.00872026796278078,0.947426401078701,0.2,960,-0.040704542817547915
98,200704,527,14.06,0.66926857,380,0.0003,-0.014533817768096924,-0.0012284759897738696,0.018599404,0.044775390625,0.0075016918839537535,0.9686463810503483,0.2,970,-0.04880768172442913
