time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
1,2048,2,358.6,16.093671,736,,,,,,,,,,
2,4096,8,359.3636363636364,1.4317754545454546,495,0.0003,1.1071789264678955,-0.005054881577962078,0.009928787,0.022900390625,1.7376662624999881,0.0006207823753356934,0.2,10,-1.9425448760390283
3,6144,13,352.29411764705884,-6.635937058823529,451,0.0003,0.11090607941150665,-0.004409396159462631,0.009649866,0.024072265625,0.3539984023198485,-0.22778022289276123,0.2,20,-1.9300657249987125
4,8192,18,354.30434782608694,-10.833393347826087,433,0.0003,0.034637484699487686,-0.005749907955760136,0.014075195,0.063671875,0.14226731384405866,-0.08414041996002197,0.2,30,-1.9009457807987928
5,10240,24,355.32142857142856,-13.411151285714284,419,0.0003,0.03943889960646629,-0.01046030512516154,0.014221894,0.171435546875,0.13889413630822672,-0.05120432376861572,0.2,40,-1.8662774853408337
6,12288,29,356.1470588235294,-15.564913882352942,412,0.0003,0.018246900290250778,-0.006558163797308225,0.013623572,0.068701171875,0.0836801621131599,0.2723466753959656,0.2,50,-1.869168719649315
7,14336,35,356.725,-17.29707875,406,0.0003,-0.014884074218571186,-0.008812379268056248,0.010622337,0.092578125,0.04720383352250792,0.2805720567703247,0.2,60,-1.8814504966139793
8,16384,40,357.0888888888889,-18.493409244444443,402,0.0003,-0.04507224261760712,-0.004902580664202105,0.008966016,0.034423828125,0.03031755425326992,0.2745025157928467,0.2,70,-1.8898507051169873
9,18432,46,357.4313725490196,-19.701318098039213,398,0.0003,-0.01697944849729538,-0.003637555037857965,0.007704398,0.05986328125,0.025432645782711916,0.15694618225097656,0.2,80,-1.8803288016468287
10,20480,51,355.719298245614,-20.360534491228073,396,0.0003,-0.005355522967875004,-0.00654465545230778,0.0100855725,0.08896484375,0.023268575957627036,0.3872693181037903,0.2,90,-1.861542158201337
11,22528,57,352.93650793650795,-20.865462952380952,394,0.0003,0.06298641860485077,-0.005046654087345814,0.007929622,0.0541015625,0.2728575129120145,0.13628733158111572,0.2,100,-1.8469219353049993
12,24576,62,353.5507246376812,-21.607608376811598,392,0.0003,0.025498591363430023,-0.005891093525860924,0.009429809,0.10791015625,0.36840436633210627,-0.11732709407806396,0.2,110,-1.7972493041306734
13,26624,68,354.06666666666666,-22.233723346666668,391,0.0003,-0.027959082275629044,-0.011299078285810537,0.012001054,0.124755859375,0.015596575407835189,0.43056511878967285,0.2,120,-1.8129031196236611
14,28672,73,354.4375,-22.71474065,389,0.0003,-0.014625642448663712,-0.011774235031771241,0.009722246,0.124267578125,0.019093970382527914,-0.49145030975341797,0.2,130,-1.798531113192439
15,30720,79,354.8255813953488,-23.170340069767438,388,0.0003,-0.01627994328737259,-0.012666533164156136,0.01370619,0.148828125,0.010036332266463433,0.3879266381263733,0.2,140,-1.7924290709197521
16,32768,84,355.1630434782609,-23.604786445652177,387,0.0003,-0.021409058943390846,-0.012140343272767496,0.011978468,0.11513671875,0.007596141318208538,0.412700891494751,0.2,150,-1.8207386441528797
17,34816,89,355.41237113402065,-23.986847340206186,387,0.0003,-0.023705502972006798,-0.010813047178089619,0.0115576815,0.12275390625,0.008504293548321584,0.3408336639404297,0.2,160,-1.835342950746417
18,36864,95,354.38,-25.422693070000005,386,0.0003,-0.02416800893843174,-0.010258386789791985,0.007776856,0.114208984375,0.006187982760093291,0.29600197076797485,0.2,170,-1.828052669391036
19,38912,101,354.38,-26.993618500000004,385,0.0003,0.06796494126319885,-0.009538426389917731,0.008161281,0.058984375,0.4550905325158965,0.11190903186798096,0.2,180,-1.8143608696758746
20,40960,106,355.62,-27.619701380000002,384,0.0003,0.065181203186512,-0.008228916424559429,0.007721285,0.05146484375,0.22432121087331325,0.4027077555656433,0.2,190,-1.799569047242403
21,43008,111,355.62,-28.074278560000003,384,0.0003,0.031057436019182205,-0.005842570177628658,0.008997604,0.048291015625,0.15433672919170932,0.7942726463079453,0.2,200,-1.7589872259646655
22,45056,117,353.56,-28.24023218,383,0.0003,-0.011105136945843697,-0.01188529125356581,0.014872782,0.1322265625,0.07838312715757638,-0.30074620246887207,0.2,210,-1.7682488903403282
23,47104,122,352.12,-28.235603310000005,383,0.0003,0.3606206774711609,-0.004125608399044722,0.005704691,0.06240234375,0.4159181467082817,0.1833287477493286,0.2,220,-1.7053251076489686
24,49152,128,350.4,-28.34463477,382,0.0003,0.046219997107982635,-0.005730919261986855,0.0078048795,0.030517578125,0.32841930175200107,0.3536216616630554,0.2,230,-1.7570677772164345
25,51200,133,350.4,-28.461952400000005,382,0.0003,0.04456602782011032,-0.007691736244305502,0.008636707,0.074365234375,0.21774528581299818,0.4976074695587158,0.2,240,-1.7271652642637492
26,53248,139,350.4,-28.53012538,382,0.0003,0.07595077902078629,-0.008961145734065212,0.007559662,0.077001953125,0.25729103861376645,0.5530611574649811,0.2,250,-1.750970283523202
27,55296,144,348.43,-28.47146179,381,0.0003,0.040647588670253754,-0.009910074633080513,0.008247947,0.085546875,0.12816465775249525,0.6023385226726532,0.2,260,-1.7772701010107994
28,57344,150,350.44,-28.79753599,381,0.0003,0.6176971793174744,-0.010795509938907344,0.008911635,0.082080078125,0.4355094406520948,0.3322838544845581,0.2,270,-1.735591873154044
29,59392,155,347.69,-28.59951766,381,0.0003,-0.004702717065811157,-0.011858995354850776,0.01016798,0.1580078125,0.04263984417775646,0.41488587856292725,0.2,280,-1.7257292207330466
30,61440,161,347.69,-28.58932814,381,0.0003,0.3131277859210968,-0.008836210447771008,0.0064414283,0.047412109375,0.4549177534179762,0.40041327476501465,0.2,290,-1.6759833104908466
31,63488,166,344.61,-28.323166309999998,380,0.0003,-0.012722816318273544,-0.010308947517478373,0.010645414,0.121240234375,0.04948109155229759,0.476077675819397,0.2,300,-1.67823900654912
32,65536,172,342.43,-28.23227987000001,380,0.0003,0.15322229266166687,-0.005152259154419881,0.006414723,0.040576171875,0.7033548068022355,0.33295124769210815,0.2,310,-1.7017976630479097
33,67584,177,342.18,-28.25272762,380,0.0003,0.03124302625656128,-0.011211578787333564,0.00978869,0.0982421875,0.24233761018840597,0.19993263483047485,0.2,320,-1.682333767414093
34,69632,183,341.06,-28.358393569999997,380,0.0003,0.008447684347629547,-0.008626179723069071,0.0077471007,0.116650390625,0.279139976069564,0.22162234783172607,0.2,330,-1.7242960583418607
35,71680,188,334.65,-27.718351540000004,379,0.0003,0.3801410496234894,-0.005592278094991343,0.0072707995,0.054052734375,0.6760348847834393,0.2574846148490906,0.2,340,-1.6935904953628778
