time/time_elapsed,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/learning_rate
6,238,334,1440,360.0,0.00758007587864995,0.5,11.347490749999999,4,0.0001
12,225,694,2880,360.0,0.003333806758746505,0.5,-1.0662789999999998,8,0.0001
19,218,1054,4320,360.0,0.001161518506705761,0.5,-6.6517055833333325,12,0.0001
27,206,1414,5760,360.0,0.00044202987919561565,0.5,-10.3490615625,16,0.0001
36,199,1774,7200,360.0,0.0006516783032566309,0.5,-12.89017025,20,0.0001
49,175,2134,8640,360.0,0.0009280245285481215,0.5,-14.822969125,24,0.0001
55,181,2494,10080,360.0,0.0009136248845607042,0.5,-16.324352285714287,28,0.0001
62,185,2854,11520,360.0,0.0006713969050906599,0.5,-17.6116636875,32,0.0001
69,186,3214,12960,360.0,0.0028928513638675213,0.5,-18.452300249999997,36,0.0001
76,189,3574,14400,360.0,0.002242452697828412,0.5,-19.391753675,40,0.0001
81,190,3872,15592,354.3636363636364,0.00031120164203457534,0.5,-19.561961863636366,44,0.0001
88,192,4232,17032,354.8333333333333,0.0005553627852350473,0.5,-20.229610395833333,48,0.0001
95,194,4592,18472,355.2307692307692,0.0006417589029297233,0.5,-20.92797419230769,52,0.0001
101,195,4952,19912,355.57142857142856,0.00026810786221176386,0.5,-21.45034107142857,56,0.0001
108,196,5312,21352,355.8666666666667,0.00024446507450193167,0.5,-21.963078449999998,60,0.0001
115,196,5672,22792,356.125,0.0028424845077097416,0.5,-22.437071296874997,64,0.0001
122,197,6032,24232,356.3529411764706,0.0002250981779070571,0.5,-22.86250555882353,68,0.0001
129,198,6392,25672,356.55555555555554,0.002418746706098318,0.5,-23.174677652777778,72,0.0001
136,198,6752,27112,356.7368421052632,0.00041240383870899677,0.5,-23.547697855263156,76,0.0001
143,199,7112,28552,356.9,0.0005275596049614251,0.5,-23.931356112499998,80,0.0001
150,199,7472,29992,357.04761904761904,8.227591752074659e-05,0.5,-24.228314809523805,84,0.0001
156,200,7787,31252,355.1363636363636,0.00034520457847975194,0.5,-24.139011863636366,88,0.0001
162,200,8147,32692,355.3478260869565,0.003514803247526288,0.5,-24.43846809782609,92,0.0001
169,201,8507,34132,355.5416666666667,0.00013825837231706828,0.5,-24.73862680208333,96,0.0001
175,201,8815,35363,353.63,0.00033873110078275204,0.5,-24.716799639999998,100,0.0001
182,201,9175,36803,353.63,0.0007679575937800109,0.5,-26.432220279999996,104,0.0001
189,201,9535,38243,353.63,0.0002904939465224743,0.5,-27.135401350000002,108,0.0001
196,202,9895,39683,353.63,0.00010391219984740019,0.5,-27.658104169999998,112,0.0001
202,202,10233,41035,352.75,0.00013768754433840513,0.5,-27.914742379999993,116,0.0001
209,202,10593,42475,352.75,7.440089393639937e-05,0.5,-28.240486020000002,120,0.0001
216,202,10953,43915,352.75,0.0001069686550181359,0.5,-28.501771299999994,124,0.0001
221,203,11245,45084,350.04,0.00017749436665326357,0.5,-28.447056179999993,128,0.0001
228,203,11605,46524,350.04,0.00013384783233050257,0.5,-28.6530125,132,0.0001
234,204,11965,47964,350.04,0.000230418037972413,0.5,-28.92338692,136,0.0001
241,204,12325,49404,350.04,0.00015077464922796935,0.5,-29.078387289999995,140,0.0001
247,205,12685,50844,352.52,0.0003012401284649968,0.5,-29.302354809999997,144,0.0001
254,205,13045,52284,352.52,0.0001284670433960855,0.5,-29.472172110000006,148,0.0001
260,206,13405,53724,352.52,0.0008004707633517683,0.5,-29.608397930000002,152,0.0001
266,206,13765,55164,352.52,6.059214138076641e-05,0.5,-29.744482419999994,156,0.0001
273,207,14125,56604,352.52,0.0004766516503877938,0.5,-29.76335875,160,0.0001
279,207,14485,58044,352.52,0.001433985773473978,0.5,-29.868888280000007,164,0.0001
285,208,14845,59484,352.52,0.0010618719970807433,0.5,-29.987244219999997,168,0.0001
292,208,15205,60924,352.52,0.00023316906299442053,0.5,-30.121071990000004,172,0.0001
299,208,15565,62364,352.52,0.00028946020756848156,0.5,-30.192558589999997,176,0.0001
306,208,15925,63804,352.52,6.818753900006413e-05,0.5,-30.21880491,180,0.0001
312,208,16241,65067,350.75,0.007385740056633949,0.5,-30.049457479999997,184,0.0001
319,208,16601,66507,352.55,0.00017840891086962074,0.5,-30.3577488,188,0.0001
325,208,16961,67947,352.55,0.002500024391338229,0.5,-30.3969896,192,0.0001
332,208,17321,69387,352.55,0.0004804198397323489,0.5,-30.41892223,196,0.0001
338,208,17681,70827,354.64,0.00037620903458446264,0.5,-30.74196004,200,0.0001
345,209,18041,72267,354.64,0.00023607636103406549,0.5,-30.796339230000005,204,0.0001
351,209,18401,73707,354.64,0.0006144523504190147,0.5,-30.82332484,208,0.0001
358,209,18727,75011,353.28,5.546181637328118e-05,0.5,-30.72962859,212,0.0001
364,209,19060,76343,353.08,0.0006014984683133662,0.5,-30.710598420000007,216,0.0001
371,209,19420,77783,353.08,0.00041041363147087395,0.5,-30.76707743,220,0.0001
378,209,19780,79223,353.08,0.00010962851229123771,0.5,-30.78982082,224,0.0001
385,209,20140,80663,355.79,5.430605597211979e-05,0.5,-31.121019150000002,228,0.0001
392,209,20500,82103,355.79,0.00015601141785737127,0.5,-31.146899320000003,232,0.0001
399,209,20860,83543,355.79,0.0003254867624491453,0.5,-31.159126099999998,236,0.0001
406,209,21220,84983,355.79,0.0007168579031713307,0.5,-31.19160703,240,0.0001
413,209,21580,86423,355.79,0.00019202916882932186,0.5,-31.419857280000002,244,0.0001
419,209,21940,87863,355.79,7.989896403159946e-05,0.5,-31.448000280000002,248,0.0001
426,209,22300,89303,355.79,0.0007451266865245998,0.5,-31.44968482,252,0.0001
433,209,22660,90743,355.79,6.530668906634673e-05,0.5,-31.494362839999997,256,0.0001
439,209,23020,92183,355.79,0.0005075483350083232,0.5,-31.619257019999996,260,0.0001
446,209,23380,93623,355.79,0.0001812212576624006,0.5,-31.627394669999997,264,0.0001
453,209,23740,95063,355.79,0.000748077523894608,0.5,-31.61985987,268,0.0001
459,209,24100,96503,355.79,0.00010614791244734079,0.5,-31.66667667,272,0.0001
466,210,24449,97898,355.34,0.00017794374434743077,0.5,-31.544907320000004,276,0.0001
473,209,24809,99338,355.34,4.161629476584494e-05,0.5,-31.570915760000002,280,0.0001
479,210,25169,100778,357.11,0.0006370829069055617,0.5,-31.83902269,284,0.0001
485,210,25486,102047,355.4,0.00018595541769172996,0.5,-31.767628960000003,288,0.0001
492,210,25846,103487,355.4,0.0001434011646779254,0.5,-31.813908689999995,292,0.0001
498,210,26206,104927,355.4,0.00020621062139980495,0.5,-31.85996325,296,0.0001
505,210,26566,106367,355.4,6.288912845775485e-05,0.5,-31.90354974,300,0.0001
512,210,26926,107807,355.4,6.172557914396748e-05,0.5,-31.911068580000002,304,0.0001
518,210,27286,109247,355.4,3.719790038303472e-05,0.5,-31.968094390000005,308,0.0001
525,210,27632,110630,356.19,0.00018651841674000025,0.5,-31.96285574,312,0.0001
532,210,27992,112070,357.27,5.4879943490959704e-05,0.5,-32.18879984,316,0.0001
539,210,28352,113510,357.27,4.55092012998648e-05,0.5,-32.11844374,320,0.0001
547,210,28712,114950,357.27,9.518569277133793e-05,0.5,-32.17600972,324,0.0001
554,210,29072,116390,357.27,7.485834794351831e-05,0.5,-32.20217477,328,0.0001
560,210,29409,117739,356.36,0.0001475287281209603,0.5,-32.13088355,332,0.0001
567,210,29769,119179,356.36,5.38005078851711e-05,0.5,-32.153356929999994,336,0.0001
573,210,30129,120619,356.36,8.03617513156496e-05,0.5,-32.16737112,340,0.0001
580,210,30489,122059,356.36,0.0001268373744096607,0.5,-32.21080412,344,0.0001
586,210,30849,123499,356.36,0.00012105200585210696,0.5,-32.22773884,348,0.0001
593,210,31209,124939,356.36,5.6661476264707744e-05,0.5,-32.24419429,352,0.0001
599,210,31569,126379,356.36,0.0006335207726806402,0.5,-32.27058732,356,0.0001
606,210,31929,127819,356.36,0.00013120770745445043,0.5,-32.28920257,360,0.0001
612,210,32270,129183,355.6,0.00012332148617133498,0.5,-32.217142470000006,364,0.0001
619,210,32630,130623,355.6,4.5953725930303335e-05,0.5,-32.25658586,368,0.0001
625,211,32990,132063,355.6,0.0001633220526855439,0.5,-32.26797537,372,0.0001
632,211,33350,133503,356.05,8.085282752290368e-05,0.5,-32.44685720999999,376,0.0001
639,211,33710,134943,356.05,0.009967835620045662,0.5,-32.47359551,380,0.0001
645,211,34070,136383,356.05,9.974217391572893e-05,0.5,-32.49783684999999,384,0.0001
651,211,34430,137823,357.76,8.053071360336617e-05,0.5,-32.71992695,388,0.0001
658,211,34790,139263,357.76,0.00032331846887245774,0.5,-32.73912875,392,0.0001
664,211,35150,140703,357.76,3.555580406100489e-05,0.5,-32.72489926,396,0.0001
670,211,35510,142143,357.76,0.00039365055272355676,0.5,-32.73391037,400,0.0001
676,212,35870,143583,357.76,0.00019053329015150666,0.5,-32.756931400000006,404,0.0001
682,212,36201,144907,356.6,5.9528476413106546e-05,0.5,-32.62370126,408,0.0001
689,212,36561,146347,357.17,5.543426232179627e-05,0.5,-32.798544820000004,412,0.0001
695,212,36907,147731,356.61,0.000292274373350665,0.5,-32.64972774999999,416,0.0001
701,212,37267,149171,356.61,0.00010362666944274679,0.5,-32.744538389999995,420,0.0001
707,212,37627,150611,356.61,7.737193664070219e-05,0.5,-32.763934,424,0.0001
714,212,37987,152051,356.61,0.00010881366324611008,0.5,-32.76542567,428,0.0001
720,213,38344,153478,357.39,4.812260885955766e-05,0.5,-32.84359214,432,0.0001
726,213,38704,154918,357.39,3.374435254954733e-05,0.5,-32.86142062,436,0.0001
733,213,39064,156358,357.39,5.565951141761616e-05,0.5,-32.894313030000006,440,0.0001
739,213,39424,157798,357.39,6.12231160630472e-05,0.5,-32.885478,444,0.0001
745,213,39784,159238,357.39,4.404468199936673e-05,0.5,-32.90840931999999,448,0.0001
751,213,40081,160427,354.88,0.00029749629902653396,0.5,-32.67464433,452,0.0001
757,213,40441,161867,354.88,0.00022319750860333443,0.5,-32.69604056,456,0.0001
764,213,40801,163307,354.88,0.00019465561490505934,0.5,-32.711234749999996,460,0.0001
770,213,41148,164694,355.11,7.0516238338314e-05,0.5,-32.75478591,464,0.0001
776,213,41508,166134,355.11,0.00017071513866540045,0.5,-32.76185677,468,0.0001
783,213,41868,167574,355.11,0.00017434218898415565,0.5,-32.77686596,472,0.0001
789,213,42228,169014,355.11,5.757054896093905e-05,0.5,-32.77079715000001,476,0.0001
796,214,42588,170454,355.11,0.00013268359180074185,0.5,-32.79744316000001,480,0.0001
802,214,42948,171894,355.11,5.0473681767471135e-05,0.5,-32.81540332,484,0.0001
808,214,43308,173334,355.11,3.437334453337826e-05,0.5,-32.80864062,488,0.0001
815,214,43668,174774,355.11,5.186415364732966e-05,0.5,-32.796515480000004,492,0.0001
821,214,44028,176214,355.11,0.0004211982595734298,0.5,-32.79207922999999,496,0.0001
827,214,44388,177654,355.11,4.781675306730904e-05,0.5,-32.78271667,500,0.0001
834,214,44748,179094,355.11,0.00010608752199914306,0.5,-32.770636200000006,504,0.0001
841,214,45102,180512,356.05,0.00021789064339827746,0.5,-32.76352178,508,0.0001
847,214,45462,181952,356.05,8.154379611369222e-05,0.5,-32.61219113,512,0.0001
853,214,45787,183249,355.18,4.01135730498936e-05,0.5,-32.62380066,516,0.0001
859,214,46147,184689,355.18,2.684615355974529e-05,0.5,-32.61799598,520,0.0001
866,214,46504,186120,355.09,5.9887850511586294e-05,0.5,-32.57953755,524,0.0001
872,214,46864,187560,355.09,0.0031311733182519674,0.5,-32.60649366,528,0.0001
879,214,47224,189000,355.22,0.00020340642367955297,0.5,-32.65578447,532,0.0001
885,215,47584,190440,355.22,0.00012498500291258097,0.5,-32.68570256,536,0.0001
