time/time_elapsed,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/learning_rate
5,238,327,1409,352.25,0.006457075476646423,0.5,11.31734425,4,0.0001
12,236,687,2849,356.125,0.002805824624374509,0.5,-2.678253625000001,8,0.0001
18,232,1047,4289,357.4166666666667,0.014262677170336246,0.5,-8.394485666666668,12,0.0001
24,231,1383,5633,352.0625,0.06863097846508026,0.5,-9.9261993125,16,0.0001
30,229,1743,7073,353.65,0.005222328007221222,0.5,-12.967791199999999,20,0.0001
37,224,2103,8513,354.7083333333333,0.0005718875909224153,0.5,-14.546732458333333,24,0.0001
44,223,2463,9953,355.4642857142857,0.0008416290511377156,0.5,-14.818823357142858,28,0.0001
51,221,2823,11393,356.03125,0.0027597974985837936,0.5,-16.08168478125,32,0.0001
57,221,3137,12651,351.4166666666667,0.0003539310419000685,0.5,-16.639555,36,0.0001
63,220,3497,14091,352.275,0.000562421337235719,0.5,-17.79488285,40,0.0001
71,218,3857,15531,352.97727272727275,0.0004337173013482243,0.5,-18.85360918181818,44,0.0001
77,218,4217,16971,353.5625,0.0009030457586050034,0.5,-19.6128338125,48,0.0001
83,219,4577,18411,354.0576923076923,0.0010941366199404001,0.5,-20.222311192307693,52,0.0001
90,219,4937,19851,354.48214285714283,0.0037210893351584673,0.5,-20.804050339285713,56,0.0001
97,218,5297,21291,354.85,0.00022782362066209316,0.5,-21.352884149999998,60,0.0001
103,219,5657,22731,355.171875,0.0002494273358024657,0.5,-21.8657149375,64,0.0001
110,219,6017,24171,355.45588235294116,0.0004283709276933223,0.5,-22.350786955882356,68,0.0001
116,219,6377,25611,355.7083333333333,0.00025935666053555906,0.5,-22.770803569444443,72,0.0001
122,219,6692,26869,353.5394736842105,0.0014766434906050563,0.5,-22.848826960526313,76,0.0001
129,219,7052,28309,353.8625,0.0005110981874167919,0.5,-23.1335361125,80,0.0001
134,219,7344,29480,350.95238095238096,0.0002628224028740078,0.5,-23.081664607142855,84,0.0001
140,219,7704,30920,351.3636363636364,0.00017388789274264127,0.5,-23.367678715909094,88,0.0001
147,219,8064,32360,351.7391304347826,0.0008709596004337072,0.5,-23.682982293478265,92,0.0001
153,219,8424,33800,352.0833333333333,0.0002681142941582948,0.5,-23.995099666666665,96,0.0001
158,220,8710,34943,349.43,8.812927262624726e-05,0.5,-23.971015729999998,100,0.0001
165,219,9070,36383,349.74,0.001734999823383987,0.5,-25.53888639,104,0.0001
172,219,9430,37823,349.74,0.0007611934561282396,0.5,-26.109739429999994,108,0.0001
178,219,9790,39263,349.74,9.837854304350913e-05,0.5,-26.55120187,112,0.0001
185,219,10150,40703,350.7,0.0004137668292969465,0.5,-27.197656140000003,116,0.0001
192,219,10510,42143,350.7,0.0002005031128646806,0.5,-27.455488210000002,120,0.0001
199,218,10870,43583,350.7,0.0006973291747272015,0.5,-27.807278629999995,124,0.0001
205,219,11230,45023,350.7,0.00036931264912709594,0.5,-28.42495284,128,0.0001
211,219,11590,46463,350.7,0.00016786293417681009,0.5,-28.683283049999996,132,0.0001
218,219,11950,47903,352.52,0.0004675815289374441,0.5,-29.084474200000002,136,0.0001
224,219,12310,49343,352.52,0.0009827673202380538,0.5,-29.228053640000002,140,0.0001
230,220,12649,50698,351.67,0.00022978447668720037,0.5,-29.194436,144,0.0001
236,220,13009,52138,351.67,5.579110074904747e-05,0.5,-29.32837952,148,0.0001
