rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss
139.16,44,-10.31753793,245,90112,367,0.6775949895381927,0.010024248,430,-0.003615552554401802,0.0003,0.2,-1.2876305427402257,0.116552734375,1.5771871017292143,0.43900296092033386
124.13,45,-9.003829220000002,250,92160,367,0.7893026322126389,0.009355757,440,-0.0040894106772611846,0.0003,0.2,-1.2831228744238614,0.118994140625,0.7932030966505408,0.16617274284362793
127.84,46,-9.41053638,256,94208,367,0.7873190343379974,0.009627391,450,-0.005361604909558082,0.0003,0.2,-1.2996596656739712,0.125830078125,1.3630253927782179,0.4141888916492462
91.4,47,-6.012549439999999,261,96256,368,0.7003890573978424,0.01048499,460,-0.0007548879606474656,0.0003,0.2,-1.297154090180993,0.130322265625,0.9007962764240801,0.4266345798969269
97.09,48,-6.562349979999999,267,98304,368,0.6253986060619354,0.011262913,470,-0.004455621994566172,0.0003,0.2,-1.2409466482698917,0.12216796875,1.2538607042282819,0.6210114359855652
87.3,49,-5.565062739999998,272,100352,368,0.7594388425350189,0.0128768515,480,-0.0006925264271558263,0.0003,0.2,-1.2138920545578002,0.2,0.4665049546398222,0.27637842297554016
79.61,50,-4.85428668,278,102400,368,0.6972931921482086,0.012836434,490,-0.006986676393717061,0.0003,0.2,-1.2860208086669445,0.139599609375,1.3205631120130419,0.5318253040313721
83.85,51,-5.25786508,283,104448,368,0.7369364798069,0.0092771165,500,-0.00896029376090155,0.0003,0.2,-1.2538535550236702,0.167578125,1.0720508036203682,0.3507399260997772
66.81,52,-3.7295315799999997,289,106496,368,0.7494626939296722,0.015859272,510,-0.009095917850208935,0.0003,0.2,-1.2291121698915959,0.153662109375,1.296046612225473,0.7336664199829102
49.99,53,-2.23011047,294,108544,368,0.7088837921619415,0.020489035,520,-0.005386457548593171,0.0003,0.2,-1.1977774120867253,0.16630859375,1.1933843152597547,0.4330608546733856
37.53,54,-1.1415057400000002,300,110592,368,0.6216408610343933,0.016615905,530,-0.008063398028025404,0.0003,0.2,-1.109823257662356,0.179296875,0.7419468633830547,0.1907082349061966
32.99,55,-0.7322974099999999,305,112640,368,0.7467130422592163,0.01670713,540,-0.008127340119972359,0.0003,0.2,-1.0223233999684453,0.149462890625,0.6172909092158079,0.42064422369003296
30.07,56,-0.50124417,311,114688,368,0.7201607525348663,0.021297522,550,-0.007384944443765562,0.0003,0.2,-0.9886913310736418,0.131396484375,0.5039737278595566,0.3160912096500397
25.25,57,-0.07686162000000003,316,116736,368,0.7519386261701584,0.025569431,560,-0.01530663108715089,0.0003,0.2,-0.9366609850898385,0.219287109375,0.22159440889954568,0.11382655054330826
21.85,58,0.21588760999999995,323,118784,367,0.7746334820985794,0.035920322,570,-0.020738276487099937,0.0003,0.2,-0.7834049297496677,0.233935546875,0.15241827829740942,0.03307298570871353
20.75,59,0.30259432,328,120832,367,0.7882319241762161,0.029382225,580,-0.0056183675507782025,0.0003,0.2,-0.6889394991099834,0.199658203125,0.13597938576713203,0.0842866599559784
19.2,60,0.42923435000000004,334,122880,367,0.8366714119911194,0.025267225,590,-0.01591155626665568,0.0003,0.2,-0.6240141861140728,0.198974609375,0.10209552603773772,0.021048126742243767
20.06,61,0.34054724999999997,339,124928,367,0.8620948046445847,0.033467796,600,-0.014777333589154295,0.0003,0.2,-0.5357103994116187,0.19228515625,0.0718918833823409,-0.002603599801659584
17.81,62,0.54073625,345,126976,367,0.8002569824457169,0.036216624,610,-0.01102326746477047,0.0003,0.2,-0.4893816730007529,0.220458984375,0.12160269449232146,0.07863037288188934
18.85,63,0.44624688000000007,350,129024,367,0.8277371823787689,0.025271636,620,-0.013095806118508335,0.0003,0.2,-0.4368911124765873,0.171728515625,0.08059193980880082,0.014873620122671127
14.84,64,0.80156309,356,131072,367,0.7930136620998383,0.055719122,630,-0.01909445526835043,0.0003,0.2,-0.3894229825586081,0.227294921875,0.0751206389744766,0.006255600601434708
