time/time_elapsed,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/learning_rate
5,254,334,1440,360.0,0.008185886777937412,0.5,6.8942095000000005,4,0.0001
10,249,643,2674,334.25,0.002317202277481556,0.5,1.5719473750000001,8,0.0001
15,243,931,3828,319.0,0.0014327869284898043,0.5,-2.9243341666666667,12,0.0001
21,240,1250,5104,319.0,0.008824644610285759,0.5,-6.545400375,16,0.0001
27,238,1590,6461,323.05,0.000629988731816411,0.5,-9.35607795,20,0.0001
33,237,1950,7901,329.2083333333333,0.004036336205899715,0.5,-11.344332041666666,24,0.0001
39,236,2310,9341,333.60714285714283,0.0006366235902532935,0.5,-13.427952857142856,28,0.0001
45,235,2670,10781,336.90625,0.0007666857563890517,0.5,-15.097641781250001,32,0.0001
51,234,2968,11974,332.6111111111111,0.00046408528578467667,0.5,-15.812805583333333,36,0.0001
57,234,3328,13414,335.35,0.0009341119439341128,0.5,-16.459668325000003,40,0.0001
63,233,3688,14854,337.59090909090907,0.0007075894391164184,0.5,-17.556185522727272,44,0.0001
70,232,4048,16294,339.4583333333333,0.00035507717984728515,0.5,-18.45081625,48,0.0001
75,232,4361,17548,337.46153846153845,0.0004537064814940095,0.5,-18.507872499999998,52,0.0001
81,232,4721,18988,339.07142857142856,0.0018090332159772515,0.5,-19.18439839285714,56,0.0001
87,232,5081,20428,340.46666666666664,0.003103960305452347,0.5,-19.89568423333333,60,0.0001
94,232,5441,21868,341.6875,0.00028819424915127456,0.5,-20.507421078125,64,0.0001
100,232,5801,23308,342.7647058823529,0.001608125981874764,0.5,-21.02642957352941,68,0.0001
106,232,6161,24748,343.72222222222223,0.0003766925656236708,0.5,-21.398909597222218,72,0.0001
112,231,6521,26188,344.57894736842104,0.0006529498496092856,0.5,-21.837795065789468,76,0.0001
118,231,6815,27361,342.0125,0.0011126153403893113,0.5,-21.9496756,80,0.0001
124,231,7175,28801,342.8690476190476,0.00022898805036675185,0.5,-22.316545547619047,84,0.0001
130,231,7535,30241,343.64772727272725,0.00011480153625598177,0.5,-22.685943818181816,88,0.0001
136,231,7879,31618,343.67391304347825,0.0002703249629121274,0.5,-22.922286804347827,92,0.0001
