time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
1,2048,2,360.0,6.6532556,707,,,,,,,,,,
2,4096,8,360.0,-7.52220790909091,501,0.0003,0.41504383087158203,-0.0012683396387728862,0.0028351415,0.000390625,1.1463605120778084,0.0011228322982788086,0.2,10,-1.9450123399496078
3,6144,13,360.0,-12.021763823529412,454,0.0003,0.027813265100121498,-0.004059603397035971,0.008514996,0.055126953125,0.1164716375817079,-0.245843768119812,0.2,20,-1.930040967091918
4,8192,18,360.0,-14.653865045454546,434,0.0003,0.03954863175749779,-0.004864001205714885,0.009158829,0.035595703125,0.10242302092956379,0.23301953077316284,0.2,30,-1.9384914841502905
5,10240,24,360.0,-17.02560035714286,421,0.0003,0.005612112581729889,-0.004934611602220684,0.0066480734,0.037744140625,0.05790362718980759,0.5258360505104065,0.2,40,-1.9361804835498333
6,12288,29,360.0,-18.578686970588237,413,0.0003,0.012326167896389961,-0.006550485160551034,0.007759013,0.053857421875,0.05669041641522199,0.21872049570083618,0.2,50,-1.9231270886957645
7,14336,35,360.0,-19.0295018974359,407,0.0003,0.04744381085038185,-0.0038283238089206863,0.004784615,0.01748046875,0.3197025656467304,0.05332052707672119,0.2,60,-1.9309995114803313
8,16384,40,358.1333333333333,-19.819620133333334,403,0.0003,0.30229154229164124,-0.004032748890313087,0.0052293525,0.021875,0.9106009112671017,0.2204553484916687,0.2,70,-1.9159590393304824
9,18432,45,358.3529411764706,-20.766971078431375,400,0.0003,0.11072388291358948,-0.004177200900448952,0.004281901,0.018994140625,0.4209408647380769,0.3803249001502991,0.2,80,-1.919692524150014
10,20480,51,356.9824561403509,-20.961574877192984,397,0.0003,0.03680760785937309,-0.008950680438283598,0.008555857,0.099755859375,0.10858858316205441,-0.14071977138519287,0.2,90,-1.9015963241457938
11,22528,56,357.26984126984127,-21.732671793650795,396,0.0003,0.16117063164710999,-0.00628041383024538,0.007080329,0.052197265625,0.4670027137966827,0.3082271218299866,0.2,100,-1.898761486262083
12,24576,62,355.8985507246377,-22.04702984057971,394,0.0003,0.015540339052677155,-0.007643242390622617,0.014589058,0.10673828125,0.12906648721545935,0.18764346837997437,0.2,110,-1.8419895458966493
13,26624,67,356.1756756756757,-22.16712491891892,393,0.0003,0.12130559980869293,-0.0061431460417225026,0.0072155707,0.05302734375,0.3720059779472649,0.23141998052597046,0.2,120,-1.8435284439474344
14,28672,73,356.4625,-22.534470025,392,0.0003,0.19088466465473175,-0.00544841222508694,0.012164504,0.058935546875,0.31956746138166636,0.22990524768829346,0.2,130,-1.8079229820519687
15,30720,78,356.7093023255814,-22.959514930232558,391,0.0003,0.03917232155799866,-0.007258561771595851,0.009346255,0.0986328125,0.11143065955257044,0.5412148237228394,0.2,140,-1.7724005457013845
16,32768,84,356.8901098901099,-23.41546787912088,390,0.0003,0.06290113180875778,-0.007101231190608815,0.008960841,0.0982421875,0.09699459233670496,0.6091509759426117,0.2,150,-1.7906727399677038
17,34816,89,356.8041237113402,-23.641835969072165,389,0.0003,0.04572465643286705,-0.0038274530146736653,0.010538177,0.094482421875,0.04067544939753134,0.7283985316753387,0.2,160,-1.765860813856125
18,36864,94,356.9,-25.27742447,388,0.0003,0.0497957207262516,-0.0041596350223699115,0.0077662393,0.06806640625,0.41274717018241064,0.17926561832427979,0.2,170,-1.7688595525920392
19,38912,100,356.9,-25.982057140000002,388,0.0003,-0.015447533689439297,-0.008443216564046452,0.016827352,0.13193359375,0.050242050224915145,0.25935667753219604,0.2,180,-1.7856426548212767
20,40960,105,356.9,-26.610366990000003,387,0.0003,-0.004842141643166542,-0.006846023438265547,0.009076929,0.102294921875,0.013774870919587557,0.4945772886276245,0.2,190,-1.7272299777716398
21,43008,111,356.65,-27.08976632,386,0.0003,0.014757740311324596,-0.008648759077186697,0.011843357,0.1484375,0.016667459640302695,0.16919386386871338,0.2,200,-1.7812901269644499
22,45056,116,356.65,-27.403967219999995,386,0.0003,0.07524549216032028,-0.0055330534276436085,0.011699391,0.076904296875,0.2398651510156924,0.16990888118743896,0.2,210,-1.6348964381963014
23,47104,122,356.65,-27.515179290000003,386,0.0003,0.006958336569368839,-0.0059440640092361715,0.013785422,0.160791015625,0.020163433959532996,-0.8462862968444824,0.2,220,-1.619616899639368
24,49152,127,354.88,-27.850865440000007,385,0.0003,0.012528317049145699,-0.01018942815135233,0.0077915424,0.1076171875,0.06220340003783349,0.3242945075035095,0.2,230,-1.6513563819229602
25,51200,132,352.47,-27.924190950000003,385,0.0003,0.19000563025474548,-0.004754214956483338,0.007890187,0.046142578125,0.36701735425158405,0.20246505737304688,0.2,240,-1.666912554949522
26,53248,138,353.31,-28.26470076,385,0.0003,0.45665597915649414,-0.00864101681363536,0.013719862,0.146337890625,0.3243890305282548,0.37725454568862915,0.2,250,-1.5053441174328328
27,55296,143,354.19,-28.749573410000004,384,0.0003,0.05927155166864395,-0.008320053099305369,0.00954024,0.09404296875,0.0678208120923955,-0.9588956832885742,0.2,260,-1.6590764343738555
28,57344,149,351.91,-28.68701639,384,0.0003,-0.01277315802872181,-0.010379899150575512,0.0144488355,0.17919921875,0.023270250474161,-0.011212587356567383,0.2,270,-1.5660378254950047
29,59392,154,351.16,-28.85903952,384,0.0003,0.023788657039403915,-0.0033619728088524425,0.007944873,0.079541015625,0.2894685715349624,0.4560878872871399,0.2,280,-1.545602449774742
30,61440,160,348.69,-28.912341539999996,383,0.0003,-0.013029519468545914,-0.00869182876922423,0.008167167,0.083154296875,0.1735851782548707,0.41327035427093506,0.2,290,-1.5609085012227297
31,63488,165,344.11,-28.716746829999998,383,0.0003,0.04277148097753525,-0.0064665557438274845,0.0099172415,0.09150390625,0.25274815438315273,0.6061215996742249,0.2,300,-1.5971818171441554
32,65536,170,339.98,-28.512902229999998,383,0.0003,0.41925695538520813,-0.005886460061446996,0.0055678533,0.064697265625,0.8620227918028831,0.48754578828811646,0.2,310,-1.6142431512475013
33,67584,176,329.3,-27.720156849999995,383,0.0003,0.040628548711538315,-0.004925361002824502,0.011419097,0.083056640625,0.24923691996955313,0.725945919752121,0.2,320,-1.449525533616543
34,69632,181,324.06,-27.357822109999997,383,0.0003,0.6779245734214783,-0.0030786463619733697,0.004426011,0.05361328125,1.305756054725498,0.6007141172885895,0.2,330,-1.613343219459057
35,71680,187,316.49,-26.571741899999992,383,0.0003,0.17121843993663788,-0.009729688403604086,0.008417014,0.10107421875,0.7368604443501681,0.7811181098222733,0.2,340,-1.578762263059616
36,73728,192,301.43,-25.156115500000002,383,0.0003,0.4060721695423126,-0.006121136318688514,0.006872156,0.047265625,1.5209356875158846,0.61325803399086,0.2,350,-1.5921319331973791
37,75776,197,288.7,-24.126710730000003,382,0.0003,1.190480351448059,-0.006897641591785941,0.0070001865,0.06767578125,2.1049707872793078,0.5558028519153595,0.2,360,-1.6159377817064524
