time/time_elapsed,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/learning_rate
5,257,334,1440,360.0,0.002774318680167198,0.5,8.685828749999999,4,0.0001
11,251,694,2880,360.0,0.0009946911595761776,0.5,-1.5197498750000005,8,0.0001
17,246,1054,4320,360.0,0.0015505196060985327,0.5,-7.209588750000001,12,0.0001
23,244,1414,5760,360.0,0.0006323822308331728,0.5,-11.373688500000002,16,0.0001
29,242,1774,7200,360.0,0.0010805361671373248,0.5,-13.725536200000002,20,0.0001
35,240,2134,8640,360.0,0.002195908920839429,0.5,-15.531307583333335,24,0.0001
41,240,2494,10080,360.0,0.005037339869886637,0.5,-17.16753975,28,0.0001
47,240,2854,11520,360.0,0.002346081892028451,0.5,-18.452907500000002,32,0.0001
54,239,3214,12960,360.0,0.00019145834085065871,0.5,-19.30721480555556,36,0.0001
60,239,3574,14400,360.0,0.0006293159676715732,0.5,-20.193979050000003,40,0.0001
65,239,3898,15694,356.6818181818182,0.00044516779598779976,0.5,-20.30401775,44,0.0001
71,239,4258,17134,356.9583333333333,0.0006614496232941747,0.5,-21.027420666666668,48,0.0001
77,239,4618,18574,357.1923076923077,0.00019206656725145876,0.5,-21.693681057692306,52,0.0001
83,238,4978,20014,357.39285714285717,0.0023754178546369076,0.5,-22.20442505357143,56,0.0001
89,238,5324,21400,356.6666666666667,0.0004075731849297881,0.5,-22.17232385,60,0.0001
95,238,5684,22840,356.875,0.002170480554923415,0.5,-22.65274221875,64,0.0001
101,238,5995,24083,354.1617647058824,0.002113749971613288,0.5,-22.57274394117647,68,0.0001
106,238,6355,25523,354.4861111111111,0.0001722737797535956,0.5,-22.950359500000005,72,0.0001
113,238,6715,26963,354.7763157894737,0.0010841605253517628,0.5,-23.252646447368424,76,0.0001
119,238,7066,28365,354.5625,0.0001508847053628415,0.5,-23.515504187500003,80,0.0001
125,237,7426,29805,354.82142857142856,0.0003568165411707014,0.5,-23.821597333333337,84,0.0001
131,237,7786,31245,355.0568181818182,0.005298206582665443,0.5,-24.134672875,88,0.0001
137,237,8135,32644,354.82608695652175,0.00027525739278644323,0.5,-24.340213249999998,92,0.0001
142,237,8461,33946,353.6041666666667,0.0025492405984550714,0.5,-24.282397343750006,96,0.0001
148,237,8812,35349,353.49,0.000867142342031002,0.5,-24.445584370000006,100,0.0001
154,237,9172,36789,353.49,0.0005693803541362286,0.5,-26.053064440000004,104,0.0001
161,237,9532,38229,353.49,0.0004354783450253308,0.5,-26.80330206,108,0.0001
167,237,9892,39669,353.49,0.00013888897956348956,0.5,-27.26057902,112,0.0001
173,236,10252,41109,353.49,0.000610086543019861,0.5,-27.549576339999994,116,0.0001
179,236,10580,42424,352.24,9.441778820473701e-05,0.5,-27.641266819999995,120,0.0001
185,236,10940,43864,352.24,0.00029553103377111256,0.5,-27.907366409999995,124,0.0001
190,236,11231,45027,349.47,0.00022869253007229418,0.5,-27.80314176,128,0.0001
197,235,11576,46408,348.88,0.0030577867291867733,0.5,-27.783036830000004,132,0.0001
203,234,11916,47766,348.06,0.00778599688783288,0.5,-27.878701080000006,136,0.0001
209,234,12276,49206,348.06,0.0002027753507718444,0.5,-28.027123359999997,140,0.0001
216,234,12636,50646,349.52,0.0011042461264878511,0.5,-28.405759179999997,144,0.0001
222,233,12996,52086,349.52,0.00037940649781376123,0.5,-28.50657599,148,0.0001
229,233,13356,53526,349.52,7.47215817682445e-05,0.5,-28.573679970000004,152,0.0001
235,232,13716,54966,349.52,0.0001646273594815284,0.5,-28.672861700000002,156,0.0001
242,232,14076,56406,350.06,5.716337182093412e-05,0.5,-28.97676117,160,0.0001
248,232,14436,57846,350.06,7.751215889584273e-05,0.5,-29.058503740000003,164,0.0001
255,232,14796,59286,352.03,0.00030842877458781004,0.5,-29.499049279999998,168,0.0001
261,232,15156,60726,352.03,0.0010520527139306068,0.5,-29.60647903,172,0.0001
267,232,15516,62166,352.03,5.956549648544751e-05,0.5,-29.750249070000006,176,0.0001
274,231,15876,63606,352.41,0.00036270407144911587,0.5,-29.782551509999998,180,0.0001
280,231,16236,65046,352.41,0.00044510894804261625,0.5,-29.873719660000003,184,0.0001
287,231,16596,66486,352.41,0.0001923146191984415,0.5,-29.944155870000003,188,0.0001
293,231,16956,67926,352.82,0.0004455760063137859,0.5,-30.071370419999997,192,0.0001
299,231,17316,69366,354.2,9.921510354615748e-05,0.5,-30.420105909999997,196,0.0001
306,231,17676,70806,354.57,7.508584531024098e-05,0.5,-30.560835219999998,200,0.0001
312,231,18036,72246,354.57,4.0273924241773784e-05,0.5,-30.611244329999998,204,0.0001
318,231,18396,73686,354.57,7.594369526486844e-05,0.5,-30.685806439999997,208,0.0001
325,231,18756,75126,354.57,0.00024173322890419513,0.5,-30.76926932,212,0.0001
330,230,19042,76272,351.63,8.623242320027202e-05,0.5,-30.529807950000006,216,0.0001
336,230,19402,77712,352.88,0.00034518548636697233,0.5,-30.809330680000002,220,0.0001
343,230,19762,79152,352.88,0.000246522860834375,0.5,-30.84786647,224,0.0001
349,230,20122,80592,355.65,0.00020850979490205646,0.5,-31.183908759999998,228,0.0001
356,230,20482,82032,356.24,0.0010472338180989027,0.5,-31.374462290000007,232,0.0001
363,229,20842,83472,357.06,0.0002442162367515266,0.5,-31.535250400000006,236,0.0001
369,229,21202,84912,357.06,0.000159329705638811,0.5,-31.555468369999993,240,0.0001
376,229,21562,86352,357.06,0.0001716266415314749,0.5,-31.64111161,244,0.0001
382,229,21922,87792,357.06,6.855151877971366e-05,0.5,-31.54942994,248,0.0001
388,229,22248,89093,355.67,8.851873280946165e-05,0.5,-31.45335772,252,0.0001
394,229,22608,90533,355.67,4.555176565190777e-05,0.5,-31.506344699999996,256,0.0001
401,229,22968,91973,355.67,0.00017627600755076855,0.5,-31.635858010000003,260,0.0001
407,229,23328,93413,355.67,0.0005494355573318899,0.5,-31.657688920000002,264,0.0001
