time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
1,2048,2,360.0,7.726497400000001,763,,,,,,,,,,
2,4096,8,360.0,-6.178205,505,0.0003,0.5887343287467957,-0.0008757752235396765,0.0016418758,0.0,1.2092307831160725,-0.000701904296875,0.2,10,-1.945575438439846
3,6144,13,333.77777777777777,-8.161555666666665,454,0.0003,0.014928491786122322,-0.006380122760310769,0.012573345,0.07001953125,0.051471806451445445,-1.016864538192749,0.2,20,-1.9311274025589227
4,8192,18,340.3333333333333,-12.1380755,433,0.0003,0.4539504647254944,-0.0015414771216455847,0.00234007,0.0,1.0408755924087019,0.06027764081954956,0.2,30,-1.9311414130032063
5,10240,24,343.7241379310345,-14.417289586206895,420,0.0003,0.04218865931034088,-0.0015266651425918099,0.0066012256,0.007373046875,0.0661176164925564,-0.5987519025802612,0.2,40,-1.9345374912023545
6,12288,29,342.37142857142857,-15.956159228571428,413,0.0003,0.014908207580447197,-0.003056325138823013,0.008483408,0.031982421875,0.03853525941958651,0.2910093665122986,0.2,50,-1.9363916672766208
7,14336,35,340.8095238095238,-17.007128785714286,407,0.0003,0.03436660394072533,-0.002872751453105593,0.0031721494,0.00068359375,0.17395129298674875,0.3181838393211365,0.2,60,-1.9362604551017284
8,16384,40,342.8510638297872,-18.20899761702127,404,0.0003,0.08648337423801422,-0.0006324059460894205,0.0003072172,9.765625e-05,0.3934959980775602,0.28454452753067017,0.2,70,-1.9234879098832607
9,18432,45,344.79245283018867,-19.013078509433964,401,0.0003,0.041538532823324203,-0.0029225713340565564,0.00564133,0.016162109375,0.07456469563185238,0.016077637672424316,0.2,80,-1.9153799079358578
10,20480,51,346.33898305084745,-20.00980393220339,398,0.0003,0.09181548655033112,-0.0070382624864578245,0.0077184574,0.045458984375,0.12428821724024601,0.5295746922492981,0.2,90,-1.8748095970600844
11,22528,56,344.96923076923076,-20.195802784615385,396,0.0003,0.018052218481898308,-0.005092793512449134,0.009659031,0.07041015625,0.0208273486350663,-0.7907122373580933,0.2,100,-1.8684081248939037
12,24576,62,346.04285714285714,-20.912895499999994,394,0.0003,0.08797226846218109,-0.005980822010315023,0.0061315773,0.02646484375,0.306783405598253,0.28509896993637085,0.2,110,-1.8124933328479529
13,26624,67,342.75324675324674,-21.07422692207792,393,0.0003,0.03293957561254501,-0.0035242757716332563,0.0064520184,0.08740234375,0.05300085963390302,-0.5575755834579468,0.2,120,-1.8396612416952849
14,28672,73,344.0,-21.618160469879516,392,0.0003,0.11746902018785477,-0.010286476548208157,0.011725618,0.11025390625,0.2836556904134341,0.555003821849823,0.2,130,-1.811749269068241
15,30720,78,341.27777777777777,-21.550965933333334,391,0.0003,0.008712263777852058,-0.0024247356443083843,0.007947124,0.072509765625,0.039240196527680384,0.47358691692352295,0.2,140,-1.8194220717996359
16,32768,83,342.2631578947368,-21.890395126315788,390,0.0003,0.4186150133609772,-0.003509030413988512,0.002395678,0.027685546875,0.5741781132062898,0.46075665950775146,0.2,150,-1.760570852085948
17,34816,89,342.0,-22.831296890000004,389,0.0003,0.08477699756622314,-0.004794448768370785,0.012664065,0.10947265625,0.3018054057378322,0.6638359427452087,0.2,160,-1.7911059107631444
18,36864,94,339.31,-23.944450249999996,388,0.0003,0.22354039549827576,-0.005601925079827197,0.006037549,0.05341796875,0.3448014479130507,0.4952009916305542,0.2,170,-1.7823045633733272
19,38912,100,338.11,-24.29985546,387,0.0003,0.43552571535110474,-0.007427922961505828,0.0067857993,0.041943359375,0.9743227745871991,0.5243674516677856,0.2,180,-1.795656456425786
20,40960,105,341.84,-25.399989070000007,387,0.0003,0.11648530513048172,-0.006232221464597387,0.010334101,0.08017578125,0.27165149012580514,0.5237776339054108,0.2,190,-1.7932771168649198
21,43008,111,336.0,-25.17800238,386,0.0003,0.1130039393901825,-0.003890869053429924,0.009884344,0.067041015625,0.20048447895096616,0.6974600851535797,0.2,200,-1.7722246814519167
22,45056,116,320.26,-24.085177899999998,386,0.0003,0.18666355311870575,-0.0109701052751916,0.0112780705,0.077294921875,0.42533195310970767,0.7590421140193939,0.2,210,-1.816855901107192
23,47104,122,309.31,-23.475838709999998,385,0.0003,0.31392139196395874,-0.0021873868274269624,0.0080196755,0.0435546875,1.2883581795729697,0.6993247270584106,0.2,220,-1.7964277364313603
24,49152,127,301.09,-22.89318363,385,0.0003,0.1818542778491974,-0.0049777024236391295,0.0056148935,0.062255859375,0.9669824251905084,0.7865073531866074,0.2,230,-1.7809845838695764
25,51200,133,289.56,-22.00418605000001,384,0.0003,0.5295911431312561,-0.0033592036430491134,0.007185518,0.065966796875,1.0124904937110841,0.7684036046266556,0.2,240,-1.7074259966611862
26,53248,138,285.32,-21.636916199999995,384,0.0003,0.19380193948745728,-0.004414035052468535,0.009846214,0.053759765625,0.9393652738071978,0.7186804115772247,0.2,250,-1.7328830175101757
27,55296,143,275.62,-21.03367057000001,384,0.0003,0.36378178000450134,-0.0023095151802408507,0.004651724,0.055615234375,0.9885562881361694,0.7996393889188766,0.2,260,-1.799839324504137
28,57344,149,266.35,-20.514945249999997,383,0.0003,0.7235668897628784,-0.007002801825728966,0.0064568873,0.064697265625,1.1006183161400258,0.7485852241516113,0.2,270,-1.795984648913145
29,59392,154,243.93,-18.78566191,383,0.0003,0.22445788979530334,-0.0023038568862830287,0.009738762,0.07373046875,0.6774654588662088,0.8013107776641846,0.2,280,-1.7416691608726977
30,61440,160,232.38,-17.970524550000004,383,0.0003,0.7332289218902588,-0.00892340978316497,0.012635518,0.133251953125,1.2424458142369985,0.7928408682346344,0.2,290,-1.6669469311833383
31,63488,165,211.84,-16.0989165,383,0.0003,0.36089733242988586,-0.008329914111527614,0.010175279,0.091162109375,1.0209289591759443,0.7595769166946411,0.2,300,-1.6599148008972406
32,65536,171,185.61,-13.945193729999998,383,0.0003,0.21176151931285858,-0.0051227841977379285,0.0112784635,0.0947265625,0.7293835502117872,0.816082313656807,0.2,310,-1.6518401190638543
