time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes
88286,0.5,22046,0.0001,0.00027316008345223963,341,-31.85983404,258,356.84,248
89726,0.5,22406,0.0001,0.00014441991515923291,346,-31.88200226,258,356.84,252
91038,0.5,22734,0.0001,0.0001519897923571989,351,-31.59230235,258,356.55,256
92478,0.5,23094,0.0001,8.865619747666642e-05,357,-31.573982549999997,259,356.55,260
93918,0.5,23454,0.0001,9.83721693046391e-05,361,-31.588597960000005,259,356.55,264
95358,0.5,23814,0.0001,0.0007910584681667387,366,-31.62923794,259,356.55,268
96798,0.5,24174,0.0001,0.00039476100937463343,372,-31.670323070000006,259,356.55,272
98238,0.5,24534,0.0001,5.5779990361770615e-05,377,-31.92528417,260,358.72,276
99678,0.5,24894,0.0001,0.0010028121760115027,382,-31.956208120000007,260,358.72,280
101118,0.5,25254,0.0001,4.6622681111330166e-05,387,-31.966644790000004,260,358.72,284
102459,0.5,25589,0.0001,0.00016441645857412368,392,-31.773411619999997,261,357.73,288
103883,0.5,25945,0.0001,0.00021043885499238968,397,-31.755659800000004,261,357.57,292
105323,0.5,26305,0.0001,0.0001585906429681927,402,-31.77257613,261,357.57,296
106763,0.5,26665,0.0001,0.00022687915770802647,407,-31.831468289999997,261,357.57,300
108203,0.5,27025,0.0001,0.0002561702858656645,412,-31.83793811,262,357.57,304
109643,0.5,27385,0.0001,0.00014686360373161733,420,-31.868328860000002,260,357.57,308
111083,0.5,27745,0.0001,8.969448390416801e-05,426,-31.885276939999994,260,357.57,312
112480,0.5,28094,0.0001,0.0002736666065175086,433,-31.774640169999998,259,357.14,316
113920,0.5,28454,0.0001,0.00025789602659642696,439,-31.765213469999996,259,357.14,320
115360,0.5,28814,0.0001,8.055733633227646e-05,444,-31.75721508,259,357.14,324
116800,0.5,29174,0.0001,5.2934567065676674e-05,449,-31.748425690000005,259,357.14,328
118240,0.5,29534,0.0001,0.0002925950975622982,455,-31.823095400000003,259,357.14,332
119680,0.5,29894,0.0001,0.00022719084518030286,461,-31.838000839999996,259,357.14,336
121082,0.5,30245,0.0001,0.00039784747059457004,467,-31.79472583,259,356.76,340
122522,0.5,30605,0.0001,0.000413032277720049,472,-31.796492949999998,259,356.76,344
123962,0.5,30965,0.0001,9.775982471182942e-05,477,-31.85479444,259,356.76,348
125165,0.5,31266,0.0001,0.00013412954285740852,482,-31.601420029999996,259,354.39,352
126605,0.5,31626,0.0001,6.814937660237774e-05,487,-32.08140754,259,355.67,356
128045,0.5,31986,0.0001,6.444591417675838e-05,492,-32.07228379,259,355.67,360
129485,0.5,32346,0.0001,9.220642095897347e-05,497,-32.08309053,260,355.67,364
130925,0.5,32706,0.0001,0.0003520413883961737,504,-32.04879281,259,355.67,368
132365,0.5,33066,0.0001,6.301384564721957e-05,510,-31.976198290000003,259,355.67,372
133683,0.5,33395,0.0001,0.00015721864474471658,516,-31.774098270000003,258,354.45,376
135123,0.5,33755,0.0001,0.00020084460265934467,522,-31.792960710000003,258,354.45,380
136534,0.5,34108,0.0001,8.164983591996133e-05,529,-31.743637539999998,257,354.16,384
137974,0.5,34468,0.0001,8.324428927153349e-05,535,-31.990800089999993,257,355.15,388
139414,0.5,34828,0.0001,5.325996608007699e-05,540,-32.052437250000004,258,355.31,392
140820,0.5,35179,0.0001,9.070007217815146e-05,545,-32.00527137,257,354.97,396
142260,0.5,35539,0.0001,0.000149680781760253,553,-32.00631423,257,354.97,400
143700,0.5,35899,0.0001,0.00033753353636711836,558,-32.030916080000004,257,354.97,404
145135,0.5,36258,0.0001,0.00013050447159912437,562,-31.97582727,257,354.92,408
146575,0.5,36618,0.0001,9.784362191567197e-05,566,-32.0152966,258,354.92,412
148011,0.5,36977,0.0001,0.00023044878616929054,571,-31.9494108,259,355.31,416
149451,0.5,37337,0.0001,0.00015004769375082105,575,-32.01689841000001,259,355.31,420
150891,0.5,37697,0.0001,3.264651240897365e-05,580,-32.02507082,260,355.31,424
152331,0.5,38057,0.0001,0.0003409335622563958,583,-32.06259528,260,355.31,428
153771,0.5,38417,0.0001,4.102068123756908e-05,587,-32.06461908,261,355.31,432
155211,0.5,38777,0.0001,0.00010443796054460108,591,-32.04098852,262,355.31,436
156502,0.5,39100,0.0001,0.00027737487107515335,594,-31.90084902,263,354.2,440
157942,0.5,39460,0.0001,9.264882828574628e-05,598,-31.916124840000002,263,354.2,444
159382,0.5,39820,0.0001,0.00025494099827483296,602,-31.93634689,264,354.2,448
160822,0.5,40180,0.0001,0.0010141555685549974,606,-32.21453644,265,356.57,452
162262,0.5,40540,0.0001,0.00011692361294990405,609,-32.104552600000005,266,356.57,456
163702,0.5,40900,0.0001,0.00017752996063791215,613,-32.19716964999999,266,356.57,460
165133,0.5,41258,0.0001,0.00010583806579234079,617,-32.1729367,267,356.48,464
166573,0.5,41618,0.0001,0.00030301263905130327,621,-32.18698176,268,356.48,468
168013,0.5,41978,0.0001,6.968683010200039e-05,625,-32.21988703,268,356.48,472
169453,0.5,42338,0.0001,9.665684774518013e-05,628,-32.438973479999994,269,357.7,476
170893,0.5,42698,0.0001,5.495106233865954e-05,632,-32.44897947,270,357.7,480
172333,0.5,43058,0.0001,5.61030137760099e-05,636,-32.51671817,270,357.99,484
173773,0.5,43418,0.0001,0.0001211386188515462,640,-32.527151440000004,271,357.99,488
175213,0.5,43778,0.0001,0.00014049957098904997,645,-32.53542254,271,357.99,492
176653,0.5,44138,0.0001,3.677497079479508e-05,649,-32.62694918,272,358.33,496
178093,0.5,44498,0.0001,9.697562200017273e-05,654,-32.649303120000006,272,358.33,500
179255,0.5,44788,0.0001,0.0001417637977283448,658,-32.36652651,272,355.55,504
180695,0.5,45148,0.0001,8.223120676120743e-05,662,-32.425772980000005,272,355.6,508
182135,0.5,45508,0.0001,5.567333573708311e-05,666,-32.41636292,273,355.6,512
183575,0.5,45868,0.0001,5.146651528775692e-05,671,-32.64009343,273,355.64,516
185015,0.5,46228,0.0001,0.00014533079229295254,675,-32.63984665,273,355.64,520
186455,0.5,46588,0.0001,0.002201129449531436,679,-32.684155260000004,274,355.64,524
187875,0.5,46943,0.0001,0.0002973678056150675,683,-32.62468159,274,355.44,528
189315,0.5,47303,0.0001,0.0005127544864080846,687,-32.624545680000004,275,355.44,532
190755,0.5,47663,0.0001,4.824669304070994e-05,691,-32.682168770000004,275,355.44,536
192195,0.5,48023,0.0001,0.00015191262355074286,695,-32.90159392,276,356.93,540
193635,0.5,48383,0.0001,4.089751382707618e-05,699,-32.92769654,276,356.93,544
195075,0.5,48743,0.0001,0.0011740080080926418,703,-32.94105654,277,356.93,548
196515,0.5,49103,0.0001,0.00012955117563251406,707,-32.9542382,277,356.93,552
197955,0.5,49463,0.0001,0.0001210896807606332,711,-33.07969503999999,278,356.93,556
199395,0.5,49823,0.0001,8.340313797816634e-05,715,-33.09057457,278,356.93,560
200835,0.5,50183,0.0001,5.372980376705527e-05,719,-33.10781241000001,279,357.02,564
202275,0.5,50543,0.0001,0.0006644455133937299,726,-33.16499408999999,278,357.02,568
203715,0.5,50903,0.0001,6.16304314462468e-05,734,-33.22924759,277,357.02,572
204956,0.5,51213,0.0001,0.00013383039913605899,738,-33.01369186,277,355.03,576
206238,0.5,51534,0.0001,3.590546839404851e-05,743,-32.82439383,277,353.45,580
207678,0.5,51894,0.0001,0.0001489670539740473,748,-32.85928451,277,353.45,584
209118,0.5,52254,0.0001,6.406264583347365e-05,753,-32.874387580000004,277,353.45,588
210558,0.5,52614,0.0001,0.00013220318942330778,758,-32.87537737,277,353.45,592
211998,0.5,52974,0.0001,0.00014013914915267378,763,-32.88484572,277,353.45,596
213438,0.5,53334,0.0001,9.942614269675687e-05,769,-32.87841064,277,353.45,600
214878,0.5,53694,0.0001,0.0008347045513801277,775,-33.17418344,277,356.23,604
