time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
1,2048,2,353.4,15.412418599999999,767,,,,,,,,,,
2,4096,8,357.0,-1.9285123636363637,510,0.0003,0.6346213817596436,-0.008327916386770084,0.009997111,0.055029296875,1.7270354205742477,0.00013774633407592773,0.2,10,-1.9402779825031757
3,6144,13,358.05882352941177,-7.2434547058823515,460,0.0003,0.05819596350193024,-0.0060176874452736225,0.011658694,0.05322265625,0.1853509169537574,-0.07637572288513184,0.2,20,-1.9390516113489866
4,8192,18,350.30434782608694,-10.33275365217391,434,0.0003,0.18171623349189758,-0.005865024172817357,0.0096351225,0.02568359375,0.3514458110090345,0.03590613603591919,0.2,30,-1.940467569977045
5,10240,24,352.3103448275862,-13.46846248275862,423,0.0003,0.03501265496015549,-0.005450503660540562,0.00963965,0.0498046875,0.24465782318729906,0.14933383464813232,0.2,40,-1.9397446114569903
6,12288,29,353.44117647058823,-15.286133470588235,413,0.0003,-0.005876949056982994,-0.009449102955113631,0.016064126,0.1275390625,0.05254541793547105,-0.29239654541015625,0.2,50,-1.9053455024957657
7,14336,35,354.425,-16.81854015,407,0.0003,-0.0032526664435863495,-0.006749925270560198,0.013359094,0.079833984375,0.031558668069192206,-0.1736128330230713,0.2,60,-1.9109575599431992
8,16384,40,355.1521739130435,-18.352519021739134,404,0.0003,0.03755955398082733,-0.0058398285866132936,0.00831395,0.0201171875,0.12707394203171135,0.16932398080825806,0.2,70,-1.8866410456597804
9,18432,45,350.71153846153845,-18.70789740384615,401,0.0003,-0.011628519743680954,-0.0029211251327069475,0.0115097,0.042724609375,0.027964022353990002,-0.27690553665161133,0.2,80,-1.8699656132608653
10,20480,51,351.67241379310343,-19.708400034482757,398,0.0003,0.08320800960063934,-0.0036879665654851123,0.0038118516,0.00224609375,0.4084257493144833,0.13601523637771606,0.2,90,-1.8613073170185088
